LOCATIONID,POINT1,POINT2,POINT3,POINT4
CLASSROOM,248'-0 1/4", 79'-10 3/16",248'-0 1/4", 101'-11 1/2",262'-1 3/4", 101'-11 1/2",262'-1 3/4", 79'-10 3/16"
ENTRANCE,250'-10 13/16", 109'-5 13/16",250'-10 13/16", 124'-2 13/16",262'-5 1/8", 124'-2 13/16",262'-5 1/8", 109'-5 13/16"
FOOTPRINT,72'-10 9/16", 78'-6 9/16",72'-10 9/16", 198'-7 1/16",263'-5 1/8", 198'-7 1/16",263'-5 1/8", 78'-6 9/16"
RESTROOM,96'-7 11/16", 137'-7 1/16",96'-7 11/16", 142'-7 1/16",101'-7 11/16", 142'-7 1/16",101'-7 11/16", 137'-7 1/16"
S1,239'-11 13/16", 85'-6 1/2",239'-11 13/16", 112'-0 1/2",241'-2 13/16", 112'-0 1/2",241'-2 13/16", 85'-6 1/2"
S10,192'-0", 85'-6 7/16",192'-0", 112'-0 7/16",193'-3", 112'-0 7/16",193'-3", 85'-6 7/16"
S100,175'-0 11/16", 144'-10 5/16",175'-0 11/16", 152'-10 5/16",176'-3 11/16", 152'-10 5/16",176'-3 11/16", 144'-10 5/16"
S101,181'-3 11/16", 144'-10 5/16",181'-3 11/16", 152'-10 5/16",182'-6 11/16", 152'-10 5/16",182'-6 11/16", 144'-10 5/16"
S102,182'-8 11/16", 144'-10 5/16",182'-8 11/16", 152'-10 5/16",183'-11 11/16", 152'-10 5/16",183'-11 11/16", 144'-10 5/16"
S11,186'-2 11/16", 85'-6 7/16",186'-2 11/16", 112'-0 7/16",187'-5 11/16", 112'-0 7/16",187'-5 11/16", 85'-6 7/16"
S12,184'-10", 85'-6 7/16",184'-10", 112'-0 7/16",186'-1", 112'-0 7/16",186'-1", 85'-6 7/16"
S13,179'-0 11/16", 85'-6 13/16",179'-0 11/16", 112'-0 13/16",180'-3 11/16", 112'-0 13/16",180'-3 11/16", 85'-6 13/16"
S14,177'-8", 85'-6 13/16",177'-8", 112'-0 13/16",178'-11", 112'-0 13/16",178'-11", 85'-6 13/16"
S15,171'-10 9/16", 85'-6 13/16",171'-10 9/16", 112'-0 13/16",173'-1 9/16", 112'-0 13/16",173'-1 9/16", 85'-6 13/16"
S16,170'-5 7/8", 85'-6 13/16",170'-5 7/8", 112'-0 13/16",171'-8 7/8", 112'-0 13/16",171'-8 7/8", 85'-6 13/16"
